time_stamp,user_name,narrative_entry,incident_type,user_emotional_state,severity_score,potential_crime,confidence_score,formatted_timestamp
2025-03-02,Sanya,Wanna do a movie night soon?,Friendly,Neutral,1,N,90.0,"Mar 02, 12:00 AM"
2025-03-17,Shreya,You really shouldn’t walk home alone so late.,Neutral,Neutral,1,N,85.0,"Mar 17, 12:00 AM"
2025-02-14,Sanya,You’re on my mind today—sending love!,Friendly,Neutral,1,N,90.0,"Feb 14, 12:00 AM"
2025-01-20,Shreya,I’ve been outside your place a few times… just to make sure you're okay.,Stalking,Neutral,1,N,80.0,"Jan 20, 12:00 AM"
2025-03-05,Sanya,You’re on my mind today—sending love!,Friendly,Neutral,1,N,90.0,"Mar 05, 12:00 AM"
2025-03-23,Shreya,You really shouldn’t walk home alone so late.,Neutral,Neutral,1,N,85.0,"Mar 23, 12:00 AM"
2025-02-28,Mouni,"If you just listened, we wouldn’t be having this fight.",Neutral,Neutral,1,N,85.0,"Feb 28, 12:00 AM"
2025-02-24,Mouni,"If you just listened, we wouldn’t be having this fight.",Neutral,Neutral,1,N,85.0,"Feb 24, 12:00 AM"
2025-03-13,Mouni,You’re imagining things again. Why do you always make me the bad guy?,Gaslighting,Distressed,5,Y,100.0,"Mar 13, 12:00 AM"
2025-03-02,Shreya,Saw you at the coffee shop today. That green sweater looks good on you.,Stalking,Neutral,1,N,80.0,"Mar 02, 12:00 AM"
2025-03-19,Mouni,You’re imagining things again. Why do you always make me the bad guy?,Gaslighting,Distressed,5,Y,100.0,"Mar 19, 12:00 AM"
2025-01-01,Shreya,I’ve been outside your place a few times… just to make sure you're okay.,Stalking,Neutral,1,N,80.0,"Jan 01, 12:00 AM"
2025-02-05,Shreya,I noticed you left your lights on last night. You should be more careful.,Stalking,Anxious,3,N,90.0,"Feb 05, 12:00 AM"
2025-03-09,Sanya,Lunch next week? I’m free Tuesday!,Friendly,Neutral,1,N,90.0,"Mar 09, 12:00 AM"
2025-03-15,Shreya,Saw you at the coffee shop today. That green sweater looks good on you.,Stalking,Neutral,1,N,80.0,"Mar 15, 12:00 AM"
2025-03-14,Mouni,"If you leave, you’ll regret it. No one else will want you.",Verbal Threats,Fearful,5,Y,100.0,"Mar 14, 12:00 AM"
2025-03-11,Sanya,Wanna do a movie night soon?,Friendly,Neutral,1,N,90.0,"Mar 11, 12:00 AM"
2025-03-16,Mouni,I know what’s best for you. You clearly can’t handle life on your own.,Neutral,Neutral,1,N,85.0,"Mar 16, 12:00 AM"
2025-04-06,Shreya,Why didn’t you smile at me when I waved? Are you avoiding me?,Neutral,Neutral,1,N,85.0,"Apr 06, 12:00 AM"
2025-03-05,Mouni,You’re lucky I even put up with you.,Neutral,Neutral,1,N,85.0,"Mar 05, 12:00 AM"
2025-01-24,Mouni,You’re imagining things again. Why do you always make me the bad guy?,Gaslighting,Distressed,5,Y,100.0,"Jan 24, 12:00 AM"
2025-02-13,Shreya,I’ve been outside your place a few times… just to make sure you're okay.,Stalking,Neutral,1,N,80.0,"Feb 13, 12:00 AM"
2025-01-01,Shreya,That guy you were talking to… is he important to you?,Neutral,Neutral,1,N,85.0,"Jan 01, 12:00 AM"
2025-02-14,Mouni,You’re lucky I even put up with you.,Neutral,Neutral,1,N,85.0,"Feb 14, 12:00 AM"
2025-01-14,Sanya,You’re on my mind today—sending love!,Friendly,Neutral,1,N,90.0,"Jan 14, 12:00 AM"
2025-03-17,Sanya,Wanna do a movie night soon?,Friendly,Neutral,1,N,90.0,"Mar 17, 12:00 AM"
2025-01-16,Sanya,Just checking in. You doing okay?,Friendly,Neutral,1,N,90.0,"Jan 16, 12:00 AM"
2025-04-09,Mouni,Don’t embarrass yourself trying to explain this to anyone else. They won’t believe you.,Neutral,Neutral,1,N,85.0,"Apr 09, 12:00 AM"
2025-01-06,Mouni,I know what’s best for you. You clearly can’t handle life on your own.,Neutral,Neutral,1,N,85.0,"Jan 06, 12:00 AM"
