time_stamp,user_name,narrative_entry
2025-03-02,Sanya,Wanna do a movie night soon?
2025-03-17,Shreya,You really shouldn’t walk home alone so late.
2025-02-14,Sanya,You’re on my mind today—sending love!
2025-01-20,Shreya,I’ve been outside your place a few times… just to make sure you're okay.
2025-03-05,Sanya,You’re on my mind today—sending love!
2025-03-23,Shreya,You really shouldn’t walk home alone so late.
2025-02-28,Mouni,"If you just listened, we wouldn’t be having this fight."
2025-02-24,Mouni,"If you just listened, we wouldn’t be having this fight."
2025-03-13,Mouni,You’re imagining things again. Why do you always make me the bad guy?
2025-03-02,Shreya,Saw you at the coffee shop today. That green sweater looks good on you.
2025-03-19,Mouni,You’re imagining things again. Why do you always make me the bad guy?
2025-01-01,Shreya,I’ve been outside your place a few times… just to make sure you're okay.
2025-02-05,Shreya,I noticed you left your lights on last night. You should be more careful.
2025-03-09,Sanya,Lunch next week? I’m free Tuesday!
2025-03-15,Shreya,Saw you at the coffee shop today. That green sweater looks good on you.
2025-03-14,Mouni,"If you leave, you’ll regret it. No one else will want you."
2025-03-11,Sanya,Wanna do a movie night soon?
2025-03-16,Mouni,I know what’s best for you. You clearly can’t handle life on your own.
2025-04-06,Shreya,Why didn’t you smile at me when I waved? Are you avoiding me?
2025-03-05,Mouni,You’re lucky I even put up with you.
2025-01-24,Mouni,You’re imagining things again. Why do you always make me the bad guy?
2025-02-13,Shreya,I’ve been outside your place a few times… just to make sure you're okay.
2025-01-01,Shreya,That guy you were talking to… is he important to you?
2025-02-14,Mouni,You’re lucky I even put up with you.
2025-01-14,Sanya,You’re on my mind today—sending love!
2025-03-17,Sanya,Wanna do a movie night soon?
2025-01-16,Sanya,Just checking in. You doing okay?
2025-04-09,Mouni,Don’t embarrass yourself trying to explain this to anyone else. They won’t believe you.
2025-01-06,Mouni,I know what’s best for you. You clearly can’t handle life on your own.
2025-01-26,Shreya,I’ve been outside your place a few times… just to make sure you're okay.
2025-04-06,Sanya,Wanna do a movie night soon?
2025-03-25,Shreya,That guy you were talking to… is he important to you?
2025-03-13,Sanya,"You’ve been quiet lately, want to talk?"
2025-02-20,Shreya,I noticed you left your lights on last night. You should be more careful.
2025-01-15,Mouni,"If you leave, you’ll regret it. No one else will want you."
2025-03-13,Sanya,Just checking in. You doing okay?
2025-01-11,Mouni,"If you leave, you’ll regret it. No one else will want you."
2025-03-09,Sanya,Hey! Hope your week’s been gentle. Let me know if you need anything 💛
2025-03-03,Mouni,You’re lucky I even put up with you.
2025-02-13,Sanya,"You’ve been quiet lately, want to talk?"
2025-03-03,Sanya,Wanna do a movie night soon?
2025-01-26,Mouni,I know what’s best for you. You clearly can’t handle life on your own.
2025-02-12,Shreya,I noticed you left your lights on last night. You should be more careful.
2025-04-18,Shreya,That guy you were talking to… is he important to you?
2025-01-13,Mouni,You’re lucky I even put up with you.
2025-02-04,Sanya,Wanna do a movie night soon?
2025-02-22,Shreya,You really shouldn’t walk home alone so late.
2025-01-29,Mouni,"If you leave, you’ll regret it. No one else will want you."
2025-03-03,Mouni,Don’t embarrass yourself trying to explain this to anyone else. They won’t believe you.
2025-03-13,Sanya,Hey! Hope your week’s been gentle. Let me know if you need anything 💛
2025-03-15,Mouni,You’re lucky I even put up with you.
2025-02-13,Mouni,"If you leave, you’ll regret it. No one else will want you."
2025-02-02,Mouni,I know what’s best for you. You clearly can’t handle life on your own.
2025-01-18,Shreya,That guy you were talking to… is he important to you?
2025-02-14,Mouni,You’re imagining things again. Why do you always make me the bad guy?
2025-01-27,Sanya,You’re on my mind today—sending love!
2025-01-14,Mouni,You’re lucky I even put up with you.
2025-01-10,Sanya,Wanna do a movie night soon?
2025-04-06,Shreya,I’ve been outside your place a few times… just to make sure you're okay.
2025-01-02,Sanya,"You’ve been quiet lately, want to talk?"
2025-01-17,Shreya,Why didn’t you smile at me when I waved? Are you avoiding me?
2025-03-16,Mouni,"If you leave, you’ll regret it. No one else will want you."
2025-02-15,Shreya,That guy you were talking to… is he important to you?
2025-04-03,Sanya,Just checking in. You doing okay?
2025-03-14,Sanya,You’re on my mind today—sending love!
2025-03-21,Shreya,Saw you at the coffee shop today. That green sweater looks good on you.
2025-03-07,Sanya,Just checking in. You doing okay?
2025-03-11,Sanya,Wanna do a movie night soon?
2025-02-07,Shreya,Saw you at the coffee shop today. That green sweater looks good on you.
2025-01-25,Mouni,You’re lucky I even put up with you.
2025-02-10,Mouni,I know what’s best for you. You clearly can’t handle life on your own.
2025-01-02,Shreya,Why didn’t you smile at me when I waved? Are you avoiding me?
2025-02-26,Mouni,You’re lucky I even put up with you.
2025-02-20,Sanya,Just checking in. You doing okay?
2025-04-03,Sanya,Lunch next week? I’m free Tuesday!
2025-04-18,Sanya,Lunch next week? I’m free Tuesday!
2025-03-17,Sanya,Just checking in. You doing okay?
2025-02-21,Sanya,"You’ve been quiet lately, want to talk?"
2025-03-12,Sanya,"You’ve been quiet lately, want to talk?"
2025-04-06,Shreya,Why didn’t you smile at me when I waved? Are you avoiding me?
2025-01-03,Shreya,That guy you were talking to… is he important to you?
2025-01-27,Mouni,You’re imagining things again. Why do you always make me the bad guy?
2025-02-19,Sanya,You’re on my mind today—sending love!
2025-02-21,Sanya,"You’ve been quiet lately, want to talk?"
2025-01-13,Shreya,Why didn’t you smile at me when I waved? Are you avoiding me?
2025-03-09,Mouni,"If you just listened, we wouldn’t be having this fight."
2025-03-07,Shreya,I noticed you left your lights on last night. You should be more careful.
2025-01-28,Shreya,Why didn’t you smile at me when I waved? Are you avoiding me?
2025-02-23,Shreya,Saw you at the coffee shop today. That green sweater looks good on you.
2025-02-27,Mouni,"If you just listened, we wouldn’t be having this fight."
2025-04-05,Mouni,Don’t embarrass yourself trying to explain this to anyone else. They won’t believe you.
2025-04-17,Shreya,I’ve been outside your place a few times… just to make sure you're okay.
2025-01-27,Shreya,That guy you were talking to… is he important to you?
2025-02-11,Mouni,You’re imagining things again. Why do you always make me the bad guy?
2025-03-20,Shreya,Saw you at the coffee shop today. That green sweater looks good on you.
2025-02-12,Sanya,Wanna do a movie night soon?
2025-04-17,Mouni,I know what’s best for you. You clearly can’t handle life on your own.
2025-02-09,Mouni,"If you leave, you’ll regret it. No one else will want you."
2025-03-21,Sanya,Wanna do a movie night soon?
2025-02-13,Sanya,Lunch next week? I’m free Tuesday!
